Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Greenville CDP,0.276
2020,June,CA,Gridley city,0.136
2020,June,CA,Grover Beach city,0.142
2020,June,CA,Guadalupe city,0.097
2020,June,CA,Guerneville CDP,0.124
2020,June,CA,Gustine city,0.162
2020,June,CA,Hacienda Heights CDP,0.16
2020,June,CA,Half Moon Bay city,0.085
2020,June,CA,Hamilton Branch CDP,0.23
2020,June,CA,Hamilton City CDP,0.132
2020,June,CA,Hanford city,0.134
2020,June,CA,Hawaiian Gardens city,0.205
2020,June,CA,Hawthorne city,0.228
2020,June,CA,Hayfork CDP,0.026
2020,June,CA,Hayward city,0.158
2020,June,CA,Healdsburg city,0.106
2020,June,CA,Heber CDP,0.282
2020,June,CA,Hemet city,0.177
2020,June,CA,Hercules city,0.135
2020,June,CA,Hermosa Beach city,0.102
2020,June,CA,Hesperia city,0.153
2020,June,CA,Hidden Hills city,0.164
2020,June,CA,Hidden Valley Lake CDP,0.047
2020,June,CA,Highgrove CDP,0.215
2020,June,CA,Highland city,0.144
2020,June,CA,Hillsborough town,0.112
2020,June,CA,Hilmar Irwin CDP,0.055
2020,June,CA,Hollister city,0.149
2020,June,CA,Holtville city,0.297
2020,June,CA,Home Garden CDP,0.225
2020,June,CA,Home Gardens CDP,0.127
2020,June,CA,Homeland CDP,0.158
2020,June,CA,Hughson city,0.116
2020,June,CA,Huntington Beach city,0.133
2020,June,CA,Huntington Park city,0.175
2020,June,CA,Huron city,0.205
2020,June,CA,Hydesville CDP,0.016
2020,June,CA,Idyllwild Pine Cove CDP,0.091
2020,June,CA,Imperial city,0.244
2020,June,CA,Imperial Beach city,0.18
2020,June,CA,Independence CDP,0.069
2020,June,CA,Indian Falls CDP,0
2020,June,CA,Indian Wells city,0.124
2020,June,CA,Indio city,0.178
2020,June,CA,Industry city,0.213
2020,June,CA,Inglewood city,0.242
2020,June,CA,Interlaken CDP,0.139
2020,June,CA,Inverness CDP,0.044
2020,June,CA,Inyokern CDP,0
2020,June,CA,Ione city,0.122
2020,June,CA,Iron Horse CDP,0
2020,June,CA,Irvine city,0.113
2020,June,CA,Irwindale city,0.271
2020,June,CA,Isla Vista CDP,0.24
2020,June,CA,Isleton city,0.129
2020,June,CA,Ivanhoe CDP,0.189
2020,June,CA,Jackson city,0.106
2020,June,CA,Jamestown CDP,0.221
2020,June,CA,Johannesburg CDP,0
2020,June,CA,Johnsville CDP,0
2020,June,CA,Joshua Tree CDP,0.211
2020,June,CA,Jurupa Valley city,0.129
2020,June,CA,Keddie CDP,0.625
2020,June,CA,Keeler CDP,0
2020,June,CA,Keene CDP,0.185
2020,June,CA,Kelseyville CDP,0.097
2020,June,CA,Kennedy CDP,0.24
2020,June,CA,Kensington CDP,0.086
2020,June,CA,Kerman city,0.125
2020,June,CA,Kernville CDP,0
2020,June,CA,Kettleman City CDP,0.204
2020,June,CA,Keyes CDP,0.155
2020,June,CA,King City city,0.082
2020,June,CA,Kings Beach CDP,0.043
2020,June,CA,Kingsburg city,0.102
2020,June,CA,Kirkwood CDP,0.092
2020,June,CA,Klamath CDP,0.196
2020,June,CA,Knightsen CDP,0.077
2020,June,CA,La Canada Flintridge city,0.099
2020,June,CA,La Crescenta Montrose CDP,0.146
2020,June,CA,Ladera Heights CDP,0.232
2020,June,CA,Lafayette city,0.085
2020,June,CA,Laguna Beach city,0.11
2020,June,CA,Laguna Hills city,0.115
2020,June,CA,Laguna Niguel city,0.119
2020,June,CA,Laguna Woods city,0.094
2020,June,CA,La Habra city,0.139
2020,June,CA,La Habra Heights city,0.164
2020,June,CA,Lake Almanor Country Club CDP,0
2020,June,CA,Lake Almanor Peninsula CDP,0
2020,June,CA,Lake Almanor West CDP,0.367
2020,June,CA,Lake Arrowhead CDP,0.145
2020,June,CA,Lake Elsinore city,0.149
2020,June,CA,Lake Forest city,0.107
2020,June,CA,Lake Isabella CDP,0.234
2020,June,CA,Lakeland Village CDP,0.214
2020,June,CA,Lake Los Angeles CDP,0.327
2020,June,CA,Lake Nacimiento CDP,0.099
2020,June,CA,Lake of the Pines CDP,0.184
2020,June,CA,Lake of the Woods CDP,0.172
2020,June,CA,Lakeport city,0.08
2020,June,CA,Lakeside CDP,0.177
2020,June,CA,Lakeview CDP,0.157
2020,June,CA,Lake Wildwood CDP,0.034
2020,June,CA,Lakewood city,0.19
2020,June,CA,La Mesa city,0.142
2020,June,CA,La Mirada city,0.188
2020,June,CA,Lamont CDP,0.161
2020,June,CA,Lanare CDP,0
2020,June,CA,Lancaster city,0.199
2020,June,CA,La Palma city,0.134
2020,June,CA,La Porte CDP,0
2020,June,CA,La Puente city,0.198
2020,June,CA,La Quinta city,0.163
2020,June,CA,La Riviera CDP,0.118
2020,June,CA,Larkspur city,0.08
